Player_ID,Game_ID,Point
2544,41900406,28
201980,41900406,11
203076,41900406,19
1627936,41900406,4
203484,41900406,17
200765,41900406,19
202693,41900406,3
1628398,41900406,2
201162,41900406,0
1626188,41900406,0
2730,41900406,3
201580,41900406,0
202710,41900406,12
203109,41900406,12
1628389,41900406,25
1629130,41900406,10
1629639,41900406,7
2738,41900406,0
1629134,41900406,8
201609,41900406,5
203524,41900406,5
203482,41900406,9
1627884,41900406,0
2617,41900406,0
203086,41900406,0
202710,41900405,35
203109,41900405,11
1628389,41900405,13
1629130,41900405,26
1629639,41900405,12
1629134,41900405,14
2738,41900405,0
2617,41900405,0
203524,41900405,0
1627884,41900405,0
203086,41900405,0
203482,41900405,0
1629735,41900405,0
2544,41900405,40
203076,41900405,28
2730,41900405,2
201980,41900405,8
203484,41900405,16
1628398,41900405,7
200765,41900405,4
1627936,41900405,3
202693,41900405,0
1626188,41900405,0
201162,41900405,0
2544,41900404,28
203076,41900404,22
2730,41900404,0
201980,41900404,10
203484,41900404,15
200765,41900404,2
1628398,41900404,9
1627936,41900404,7
202693,41900404,9
201162,41900404,0
201580,41900404,0
202710,41900404,22
203109,41900404,8
1628389,41900404,15
1629130,41900404,17
1629639,41900404,21
203482,41900404,4
1629134,41900404,6
2738,41900404,3
2617,41900404,0
203524,41900404,0
1627884,41900404,0
203086,41900404,0
1629735,41900404,0
2544,41900403,25
203076,41900403,15
2730,41900403,4
201980,41900403,2
203484,41900403,5
1628398,41900403,19
1627936,41900403,8
202693,41900403,19
201162,41900403,0
1629659,41900403,0
201580,41900403,0
202710,41900403,40
203109,41900403,12
203086,41900403,7
1629130,41900403,13
1629639,41900403,17
2738,41900403,2
203482,41900403,17
1629134,41900403,4
203524,41900403,3
1627884,41900403,0
1628389,41900403,0
2617,41900403,0
1629735,41900403,0
202710,41900402,25
203109,41900402,12
203086,41900402,7
1629130,41900402,9
1629639,41900402,17
203482,41900402,24
1629134,41900402,13
2738,41900402,7
1627884,41900402,0
203524,41900402,0
1628389,41900402,0
2617,41900402,0
1629735,41900402,0
2544,41900402,33
203076,41900402,32
2730,41900402,6
201980,41900402,3
203484,41900402,11
200765,41900402,16
1627936,41900402,6
202693,41900402,6
201162,41900402,0
1629659,41900402,0
201580,41900402,0
202710,41900401,23
203109,41900401,12
1628389,41900401,8
1629130,41900401,0
201609,41900401,6
2738,41900401,7
1629639,41900401,14
203524,41900401,4
1627884,41900401,2
1629134,41900401,18
203482,41900401,4
2617,41900401,0
203086,41900401,0
2544,41900401,25
203076,41900401,34
2730,41900401,2
201980,41900401,11
203484,41900401,13
200765,41900401,7
1627936,41900401,10
202693,41900401,8
201162,41900401,0
1626188,41900401,3
201580,41900401,0
1627759,41900306,26
1628369,41900306,24
1628464,41900306,6
203935,41900306,20
202689,41900306,20
202330,41900306,12
202683,41900306,3
202954,41900306,0
1629057,41900306,2
1629684,41900306,0
1629035,41900306,0
1629750,41900306,0
1628400,41900306,0
202710,41900306,22
203109,41900306,9
1628389,41900306,32
1629130,41900306,15
201609,41900306,13
1629639,41900306,19
2738,41900306,15
203524,41900306,0
2617,41900306,0
1627884,41900306,0
203086,41900306,0
1629134,41900306,0
203482,41900306,0
203924,41900315,20
200794,41900315,13
203999,41900315,20
203914,41900315,3
1627750,41900315,19
1628420,41900315,10
203486,41900315,7
1629008,41900315,10
1628470,41900315,0
1628408,41900315,5
1628966,41900315,0
1629626,41900315,0
203584,41900315,0
2544,41900315,38
203076,41900315,27
2730,41900315,9
201980,41900315,11
203484,41900315,2
200765,41900315,8
1627936,41900315,11
202693,41900315,3
201580,41900315,0
1626188,41900315,0
201162,41900315,0
202710,41900305,17
203109,41900305,14
1628389,41900305,13
1629130,41900305,20
201609,41900305,23
2738,41900305,2
1629639,41900305,14
203524,41900305,0
203482,41900305,5
1627884,41900305,0
2617,41900305,0
203086,41900305,0
1629134,41900305,0
1627759,41900305,28
1628369,41900305,31
1628464,41900305,15
203935,41900305,12
202689,41900305,15
202330,41900305,10
1629684,41900305,0
202954,41900305,2
202683,41900305,8
1629035,41900305,0
1629750,41900305,0
1628400,41900305,0
1629057,41900305,0
2544,41900314,26
203076,41900314,34
2730,41900314,12
201980,41900314,3
203484,41900314,13
200765,41900314,11
1627936,41900314,3
201580,41900314,0
202693,41900314,2
1626188,41900314,0
201162,41900314,0
203924,41900314,17
200794,41900314,5
203999,41900314,16
203914,41900314,3
1627750,41900314,32
1628470,41900314,7
1628420,41900314,12
1629008,41900314,13
203486,41900314,3
1628408,41900314,0
1628966,41900314,0
1629626,41900314,0
203584,41900314,0
1627759,41900304,21
1628369,41900304,28
1628464,41900304,8
203935,41900304,10
202689,41900304,20
1629057,41900304,4
202330,41900304,14
202954,41900304,4
1628400,41900304,0
1629684,41900304,0
1629035,41900304,0
1629750,41900304,0
202683,41900304,0
202710,41900304,24
203109,41900304,3
1628389,41900304,20
1629130,41900304,3
201609,41900304,22
1629639,41900304,37
2738,41900304,3
203524,41900304,0
2617,41900304,0
1627884,41900304,0
203086,41900304,0
1629134,41900304,0
203482,41900304,0
2544,41900313,30
203076,41900313,27
201580,41900313,4
201980,41900313,4
1628398,41900313,11
200765,41900313,9
1627936,41900313,2
202693,41900313,3
2730,41900313,4
1626188,41900313,0
201162,41900313,0
203924,41900313,26
200794,41900313,6
203999,41900313,22
203914,41900313,7
1627750,41900313,28
1629008,41900313,9
1628420,41900313,14
1628470,41900313,2
203486,41900313,0
1628966,41900313,0
1629626,41900313,0
203584,41900313,0
1628408,41900313,0
203924,41900312,7
200794,41900312,6
203999,41900312,30
203914,41900312,3
1627750,41900312,25
